word,japanese
create,創り出す
increase,増加する
improve,向上させる
mean,意味する
own,所有している
include,含む
consider,見なす
allow,許す
suggest,提案する
produce,生産する
decide,決める
offer,提供する 申し出る
require,要求する
share,共有する
store,保存する
tend,傾向がある
concern,心配している
describe,述べる 説明する
involve,関与させる
reduce,減らす
design,設計する
force,強いる
limit,制限[規制]する
bear,耐える
affect,影響を及ぼす
deal,処理する
avoid,避ける
relate,関連づける
realize,気づく
encourage,奨励する
compare,比較する
measure,測る
exist,存在する
mark,印をつける
challenge,異議を唱える
depend,頼る
object,反対する
demand,要求する
found,設立する
complete,完成させる 仕上げる
idea,考え 思いつき
accord,一致
company,会社
interest,興味
research,研究 調査
cause,原因
reason,理由
effect,影響
influence,影響（力）
situation,状況
environment,環境
skill,技能
matter,事柄
view,見解
value,価値
species,（生物の）種
thought,考え
knowledge,知識
memory,記憶（力）
practice,実践 実行
benefit,利益 恩恵
theory,学説
issue,問題（点）
experiment,実験
article,記事
focus,焦点
subject,話題
project,計画
quality,質
role,役割
term,（専門）用語
statement,声明
material,材料 素材
evidence,証拠
source,源 根源
community,（共同）社会 ～界
technology,科学技術
culture,文化
appropriate,適切な
likely,ありそうな
possible,可能な
individual,個々の
public,公の
common,共通の
certain,確信して
similar,似ている 類似した
recent,最近の
major,主要な 大きい（ほうの）
patient,忍耐強い
particular,特定の
physical,身体の
various,さまざまな
available,手に入れる
native,出生地の
political,政治（上）の
due,予定された
blank,空白の
ancient,古代の
correct,正しい
despite,～にもかかわらず
notice,気づく
refer,言及する 関連する
approach,近づく
wonder,かなと思う
imagine,想像する
recognize,識別できる
solve,解く 解明する
occur,起こる
argue,主張する
claim,主張する
express,表す 述べる
draw,引き出す
waste,浪費する 無駄にする
advance,進歩させる
spread,広める
prepare,準備する
gain,獲得する
achieve,達成する
establish,確立する
supply,供給する
suppose,思う
perform,行う
prefer,ほうを好む
determine,決定する
treat,扱う
prove,証明する
apply,適用[応用]する
mention,言及する
communicate,情報交換をする
contain,含む
contact,連絡を取る
regard,見なす
respect,尊敬する
search,捜す
connect,つなぐ
decline,減少する
prevent,妨げる
suffer,苦しむ
survive,切り抜けて生き残る
publish,出版する
opportunity,機会
task,（課せられた）仕事 作業
industry,産業
medium,（情報伝達の）媒体
economy,経済（状態）
policy,政策 方針
account,説明
trade,貿易
model,模範
figure,数字
cell,細胞
image,印象
emotion,感情 情動
stress,ストレス
decade,10年間
range,範囲
character,性格 個性
advantage,利点
phrase,句
damage,損害 損傷
impact,影響
method,方法
resource,資源
region,地域
medicine,薬
detail,詳細（な情報）細部
feature,特徴
function,機能
access,利用 入手
item,品目 項目
income,収入
attitude,態度
site,用地 場所
aspect,（物事の）側面
structure,構造
habit,習慣 癖
link,関連 つながり
instance,（具体的な）例 実例
positive,肯定的な
negative,否定的な
complex,複雑な
current,現在の
mental,精神の
specific,特定の
significant,重要な 重大な
essential,必要不可欠な
official,公用の
financial,財政（上）の
academic,学問の
aware,気づいて 知って
worth,値する
potential,潜在的な
active,積極的な
digital,デジタル方式の
mobile,可動[移動]式の
novel,斬新な 目新しい
plastic,柔軟な
chemical,化学の 化学的な
necessary,必要な
eventually,結局は
identify,特定する
represent,表す
indicate,指し示す
manage,なんとか成し遂げる
attend,出席する
maintain,維持する
survey,調査する
replace,取って代わる
sort,分類する
conduct,（調査・実験などを）実施する
associate,結び付けて考える
attempt,試みる 企てる
promote,促進する
earn,稼ぐ
unite,団結させる
feed,食べ物[乳]を与える
seek,追い求める
observe,気づく
reveal,明らかにする
estimate,推定する
reflect,反映する
attract,引きつける
decrease,減少する
ignore,無視する
match,合う
define,定義する
adapt,適応する
contribute,貢献する 一因となる
exchange,交換する
display,示す
respond,反応する
hide,隠す
doubt,ではないと思う
remove,取り除く
wind,（ねじなど）を巻く
assume,当然のことと思う 仮定する
relax,くつろぐ
satisfy,満足させる
desire,強く望む
succeed,成功する
concept,概念
fashion,流行 ファッション
device,装置 機器
charge,料金
contrast,対照
colleague,（職場の）同僚
pain,苦痛 痛み
bill,請求書
content,内容 中身
section,部門
audience,聴衆 観客
surface,表面
crop,作物
topic,話題 トピック
technique,技術
status,地位
option,選択（の自由）
reward,報酬
race,人種
crime,罪 犯罪
conflict,争い
struggle,闘い
context,状況 背景
debate,討論 論争
fuel,燃料
pollution,汚染 公害
trend,傾向
balance,均衡 バランス
traffic,交通
strategy,戦略
basis,基礎
consequence,結果
aim,目的 目標
ancestor,祖先
gene,遺伝子
track,跡
revolution,革命
progress,進歩
cognitive,認知の
ideal,理想的な
efficient,効率的な
universal,普遍的な
vast,莫大な
extra,追加の 余分の
entire,全体の 全部の
familiar,精通している
obvious,明らかな
moral,道徳（上）の 倫理的な
ordinary,一般の 普通の
equal,等しい
previous,以前の 前の
FALSE,間違った
rare,まれな 珍しい
legal,法律の
independent,独立した
extreme,極端な
actual,実際の 現実の
willing,いとわない かまわないと思う
urban,都市の
whereas,"～するのに（対し）
～する一方"
predict,予言[予測]する
examine,調べる
trust,信頼する
stick,動けなくする
emerge,現れる
vary,さまざまである
